Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#4D0006,#4D0006,13.178,13.178,38.4538,38.4538,28.2368,28.2368
C9,#76050E,#66080E,23.6485,20.2824,53.4623,46.436,33.5362,32.1161
C8,#A00D19,#9B141D,33.6349,33.0505,65.9098,61.9058,33.181,32.0723
C7,#CA1827,#D3202D,43.3013,45.8187,76.6498,77.4642,32.0379,31.4769
C6,#F42738,#F42738,52.9231,52.9231,85.7123,85.7123,30.7338,30.7338
C5,#F74C5B,#FF4858,57.7554,58.5934,71.8583,76.4791,24.4142,25.373
C4,#F8727D,#FF7B84,64.5454,68.6246,55.6194,58.2602,20.2287,21.3144
C3,#FB99A1,#FFADB3,73.4607,79.9129,39.2804,36.9224,17.1281,17.9514
C2,#FDC0C5,#FFD5D8,83.2401,89.3547,23.346,18.3322,14.9329,15.286
C1,#FFE8EA,#FFE8EA,93.8465,93.8465,8.3564,8.3564,12.9864,12.9864
