Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#001A4D,#001A4D,11.0948,11.0948,36.903,36.903,292.6064,292.6064
C9,#022976,#072567,19.664,17.0928,51.8492,45.7948,294.4241,294.0374
C8,#0539A0,#0C399C,28.1018,27.8725,65.6888,63.0272,295.0543,294.6701
C7,#0A4ACA,#0E4FD4,36.4126,38.6521,78.1743,80.3584,295.1386,294.9206
C6,#105CF4,#105CF4,44.6501,44.6501,89.5463,89.5463,294.9407,294.9407
C5,#3A79F6,#1274FE,53.1946,51.5724,72.1145,79.827,288.598,289.2432
C4,#6495F8,#6298FF,62.4893,63.8182,55.9552,60.649,283.3177,284.0322
C3,#8FB3FB,#A0BFFF,72.9196,77.5988,39.9628,38.1878,278.6358,279.1544
C2,#BBD1FD,#D0E0FF,83.5766,89.1253,24.0372,18.6189,275.0578,275.1349
C1,#E8F0FF,#E8F0FF,94.6088,94.6088,8.1179,8.1179,271.1229,271.1229
